experiment_name,source_file,task_family,dataset,molecule,prior,encoder,seed,epochs,prior_weight,laplacian_mode,horizon,metric_name,metric_value,status,completed,notes
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,0.1,per_frame,8,rollout_error,0.1189567007869482,duplicate_snapshot,true,source_state=unknown; key_weight=0.1 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,0.1,per_frame,16,rollout_error,0.1650391161441803,duplicate_snapshot,true,source_state=unknown; key_weight=0.1 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,0.1,per_frame,,final_loss,0.007821008858699647,duplicate_snapshot,true,source_state=unknown; key_weight=0.1 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,1.0,per_frame,1,rollout_error,0.07350515498779714,duplicate_snapshot,true,source_state=unknown; key_weight=1.0 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,1.0,per_frame,2,rollout_error,0.0761030893214047,duplicate_snapshot,true,source_state=unknown; key_weight=1.0 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,1.0,per_frame,4,rollout_error,0.09626181349158287,duplicate_snapshot,true,source_state=unknown; key_weight=1.0 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,1.0,per_frame,8,rollout_error,0.1189567007869482,duplicate_snapshot,true,source_state=unknown; key_weight=1.0 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,1.0,per_frame,16,rollout_error,0.1650391161441803,duplicate_snapshot,true,source_state=unknown; key_weight=1.0 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,none,flat,0,50,1.0,per_frame,,final_loss,0.007821008858699647,duplicate_snapshot,true,source_state=unknown; key_weight=1.0 config_weight=0.0
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.001,per_frame,1,rollout_error,0.07361240866128355,duplicate_snapshot,true,source_state=unknown
rmd17_aspirin_weight_sweep.20260424_005456,backups/rmd17_aspirin_weight_sweep.20260424_005456.json,unknown,,aspirin,euclidean,flat,0,50,0.001,per_frame,2,rollout_error,0.08232986726798117,duplicate_snapshot,true,source_state=unknown
