source,run_name,domain,item,prior,prior_weight,seed,checkpoint_status,checkpoint_path,skip_reason,D_H,D_dH,D_H_norm,D_dH_norm,R_low_H_2,R_low_H_4,R_low_H_8,R_low_dH_2,R_low_dH_4,R_low_dH_8
cycle2_rmd17_multimolecule,aspirin_gnn_graph_seed0,rMD17,aspirin,graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_graph_seed1,rMD17,aspirin,graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_graph_seed2,rMD17,aspirin,graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_permuted_graph_seed0,rMD17,aspirin,permuted_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_permuted_graph_seed1,rMD17,aspirin,permuted_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_permuted_graph_seed2,rMD17,aspirin,permuted_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_random_graph_seed0,rMD17,aspirin,random_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_random_graph_seed1,rMD17,aspirin,random_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,aspirin_gnn_random_graph_seed2,rMD17,aspirin,random_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_graph_seed0,rMD17,ethanol,graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_graph_seed1,rMD17,ethanol,graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_graph_seed2,rMD17,ethanol,graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_permuted_graph_seed0,rMD17,ethanol,permuted_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_permuted_graph_seed1,rMD17,ethanol,permuted_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_permuted_graph_seed2,rMD17,ethanol,permuted_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_random_graph_seed0,rMD17,ethanol,random_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_random_graph_seed1,rMD17,ethanol,random_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,ethanol_gnn_random_graph_seed2,rMD17,ethanol,random_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_graph_seed0,rMD17,malonaldehyde,graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_graph_seed1,rMD17,malonaldehyde,graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_graph_seed2,rMD17,malonaldehyde,graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_permuted_graph_seed0,rMD17,malonaldehyde,permuted_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_permuted_graph_seed1,rMD17,malonaldehyde,permuted_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_permuted_graph_seed2,rMD17,malonaldehyde,permuted_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_random_graph_seed0,rMD17,malonaldehyde,random_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_random_graph_seed1,rMD17,malonaldehyde,random_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,malonaldehyde_gnn_random_graph_seed2,rMD17,malonaldehyde,random_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_graph_seed0,rMD17,naphthalene,graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_graph_seed1,rMD17,naphthalene,graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_graph_seed2,rMD17,naphthalene,graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_permuted_graph_seed0,rMD17,naphthalene,permuted_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_permuted_graph_seed1,rMD17,naphthalene,permuted_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_permuted_graph_seed2,rMD17,naphthalene,permuted_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_random_graph_seed0,rMD17,naphthalene,random_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_random_graph_seed1,rMD17,naphthalene,random_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,naphthalene_gnn_random_graph_seed2,rMD17,naphthalene,random_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_graph_seed0,rMD17,toluene,graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_graph_seed1,rMD17,toluene,graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_graph_seed2,rMD17,toluene,graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_permuted_graph_seed0,rMD17,toluene,permuted_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_permuted_graph_seed1,rMD17,toluene,permuted_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_permuted_graph_seed2,rMD17,toluene,permuted_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_random_graph_seed0,rMD17,toluene,random_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_random_graph_seed1,rMD17,toluene,random_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle2_rmd17_multimolecule,toluene_gnn_random_graph_seed2,rMD17,toluene,random_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_graph_seed0,HO,lattice,graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_graph_seed1,HO,lattice,graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_graph_seed2,HO,lattice,graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_graph_seed3,HO,lattice,graph,0.1,3,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_graph_seed4,HO,lattice,graph,0.1,4,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_permuted_graph_seed0,HO,lattice,permuted_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_permuted_graph_seed1,HO,lattice,permuted_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_permuted_graph_seed2,HO,lattice,permuted_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_permuted_graph_seed3,HO,lattice,permuted_graph,0.1,3,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_permuted_graph_seed4,HO,lattice,permuted_graph,0.1,4,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_random_graph_seed0,HO,lattice,random_graph,0.1,0,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_random_graph_seed1,HO,lattice,random_graph,0.1,1,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_random_graph_seed2,HO,lattice,random_graph,0.1,2,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_random_graph_seed3,HO,lattice,random_graph,0.1,3,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
cycle3_ho_networks,lattice_gnn_random_graph_seed4,HO,lattice,random_graph,0.1,4,missing_checkpoint_path,,Cycle result does not record checkpoint_path; trained node-wise H cannot be reconstructed without retraining.,,,,,,,,,,
